sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	7	evo_1035930.032	1.0	1.0	2294831	2294831	2294831	1.0	1.0	58	58	58
gsa	15	1285_BH	1.0	1.0	4566533	4566533	4566533	1.0	1.0	6	6	6
gsa	10	1049005	0.9984580148107386	1.0	4114177	4107833	4107833	0.9583333333333334	1.0	24	23	23
gsa	6	evo_1035930.029	0.9959104637216225	1.0	2422035	2412130	2412130	0.921875	1.0	64	59	59
gsa	1	1036554	0.9960864785470835	0.9997154110559793	2666141	2655707	2656463	0.96	0.96	25	24	25
gsa	5	1035900	0.9943586957205021	0.9996213822323584	7317634	7276353	7279109	0.8761904761904762	0.9787234042553191	105	92	94
gsa	8	evo_1286_AP.026	0.9960727507939543	0.9994571679677403	3221848	3209195	3210938	0.8823529411764706	0.8823529411764706	17	15	17
gsa	21	1049089	0.9995867348949201	0.9986889817171203	3121483	3120193	3124289	0.96	0.8888888888888888	25	24	27
gsa	2	1220_AD	0.9973324578323142	0.9984086648614872	3484481	3475186	3480725	0.9696969696969697	0.7804878048780488	33	32	41
gsa	16	1030836	0.9945860798640778	0.9972793801927853	4911044	4884456	4897781	0.7848101265822784	0.8985507246376812	79	62	69
gsa	14	evo_1049056.031	0.7558274089693359	0.9969281506009052	4452236	3365122	3375491	0.04419889502762431	0.9142857142857143	724	32	35
gsa	24	1030878	0.9439843409225925	0.9964409456385847	3470958	3276530	3288233	0.10126582278481013	0.7272727272727273	158	16	22
gsa	4	1030752	1.0	0.9956100317917869	6250163	6250163	6277722	1.0	0.8333333333333334	70	70	84
gsa	20	1030755	0.9921288784661431	0.995468410511346	4630471	4594024	4614937	0.9090909090909091	0.9195402298850575	88	80	87
gsa	12	evo_1286_AP.033	0.9875607925769131	0.9948469997265978	3120858	3082037	3098001	0.875	0.8235294117647058	16	14	17
gsa	3	1139_AG	1.0	0.9923981283937908	7222488	7222488	7277813	1.0	0.44776119402985076	30	30	67
gsa	13	1036755	0.9951590710733842	0.9913907374929917	6439260	6408088	6463736	0.9439252336448598	0.926605504587156	107	101	109
gsa	23	1036608	0.9081388856520699	0.9908835878079345	3458471	3140772	3169668	0.3263157894736842	0.8051948051948052	190	62	77
gsa	18	1036539	0.9787457709397728	0.9850706039719453	4704946	4604946	4674737	0.75	0.8571428571428571	64	48	56
gsa	19	1036641	0.9937577005210886	0.9826516667712022	2601285	2585047	2630685	0.9517241379310345	0.9261744966442953	145	138	149
gsa	22	1048783	0.8932036966964463	0.9769084545078316	2650691	2367607	2423571	0.45454545454545453	0.7638888888888888	121	55	72
gsa	17	evo_1035930.011	0.9000444517115552	0.9689826478331022	2434102	2190800	2260928	0.8421052631578947	0.8571428571428571	57	48	56
gsa	26	1036707	0.8872376363817326	0.9171197487694803	4139484	3672706	4004609	0.7701612903225806	0.7539473684210526	744	573	760
gsa	11	1035930	0.9991362853526445	0.8765265963159629	1927720	1926055	2197372	0.9803921568627451	0.8333333333333334	51	50	60
gsa	25	1036728	0.9797690780330726	0.8627903429284942	1772287	1736432	2012577	0.9477911646586346	0.6941176470588235	249	236	340
gsa	27	1365_A	0.9655108558805268	0.8419380833122874	6118389	5907371	7016396	0.9162303664921466	0.6078499478985759	1910	1750	2879
gsa	28	1036743	0.9517784428977737	0.8124918849858803	4352431	4142550	5098574	0.9310064935064936	0.6043203371970495	1232	1147	1898
gsa	9	1049056	0.9690640912872404	0.7976511121430728	2685326	2602253	3262395	0.5660377358490566	0.8823529411764706	53	30	34
gsa	29	1048993	0.9058392432777006	0.6929868039706153	2779778	2518032	3633593	0.9367201426024956	0.422427652733119	1122	1051	2488
