sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	13	1285_BH	1.0	1.0	4566533	4566533	4566533	1.0	1.0	6	6	6
gsa	16	1030878	1.0	0.9964409456385847	3276530	3276530	3288233	1.0	0.7272727272727273	16	16	22
gsa	2	evo_1286_AP.008	0.21489702086735848	0.9963161220047436	15688761	3371468	3383934	0.20967741935483872	0.7222222222222222	62	13	18
gsa	15	1220_AD	1.0	0.9959784240352225	3466727	3466727	3480725	1.0	0.6585365853658537	27	27	41
gsa	1	evo_1049056.013	0.2078115034382577	0.995806645982488	16843851	3500346	3515086	0.14705882352941177	0.7692307692307693	136	20	26
gsa	7	1035900	1.0	0.9919475034650532	7220494	7220494	7279109	1.0	0.8085106382978723	76	76	94
gsa	9	1030752	1.0	0.9915878721612712	6224913	6224913	6277722	1.0	0.75	63	63	84
gsa	12	1030755	0.9986342239549608	0.9911922957994876	4580546	4574290	4614937	0.9726027397260274	0.8160919540229885	73	71	87
gsa	14	1049005	1.0	0.9911474005880959	4071468	4071468	4107833	1.0	0.7391304347826086	17	17	23
gsa	8	1139_AG	1.0	0.9902525662585725	7206873	7206873	7277813	1.0	0.3880597014925373	26	26	67
gsa	17	1036608	1.0	0.9897998780944881	3137337	3137337	3169668	1.0	0.7922077922077922	61	61	77
gsa	4	1030836	0.5100591998305952	0.9865441104859527	9473169	4831877	4897781	0.5222222222222223	0.6811594202898551	90	47	69
gsa	18	1049089	1.0	0.9838958559851537	3073975	3073975	3124289	1.0	0.6666666666666666	18	18	27
gsa	19	1036641	1.0	0.983892028121953	2588310	2588310	2630685	1.0	0.825503355704698	123	123	149
gsa	5	evo_1035930.029	0.26345189965151894	0.9749437219387015	8926453	2351691	2412130	0.2537313432835821	0.864406779661017	201	51	59
gsa	3	1052947	0.37329576218975247	0.9568367734805888	12218952	4561283	4767044	0.2765957446808511	0.8125	141	39	48
gsa	10	1036755	1.0	0.9544008294893233	6168995	6168995	6463736	1.0	0.7064220183486238	77	77	109
gsa	21	1048783	1.0	0.9359808315910696	2268416	2268416	2423571	1.0	0.5	36	36	72
gsa	6	1036707	0.46654801675954627	0.9044640812623654	7763456	3622025	4004609	0.3984641638225256	0.6144736842105263	1172	467	760
gsa	20	1036554	1.0	0.8981935754422328	2386018	2386018	2656463	1.0	0.56	14	14	25
gsa	11	1365_A	0.997764717361784	0.6835142999340402	4806551	4795807	7016396	0.998017839444995	0.34977422716220913	1009	1007	2879
gsa	22	1036743	0.9969424627073102	0.44107234689542607	2255737	2248840	5098574	0.997867803837953	0.2465753424657534	469	468	1898
gsa	23	1048993	1.0	0.21627738714820288	785864	785864	3633593	1.0	0.08681672025723473	216	216	2488
gsa	24	1052947	0.7125169213122082	0.035442718800162115	237127	168957	4767044	0.3333333333333333	0.0625	9	3	48
