sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	7	evo_1035930.032	1.0	1.0	2294831	2294831	2294831	1.0	1.0	58	58	58
gsa	6	evo_1035930.029	0.9966062675388292	1.0	2420344	2412130	2412130	0.9365079365079365	1.0	63	59	59
gsa	16	1285_BH	1.0	1.0	4566533	4566533	4566533	1.0	1.0	6	6	6
gsa	10	1049005	0.9984580148107386	1.0	4114177	4107833	4107833	0.9583333333333334	1.0	24	23	23
gsa	1	1036554	0.9960864785470835	0.9997154110559793	2666141	2655707	2656463	0.96	0.96	25	24	25
gsa	5	1035900	0.9943586957205021	0.9996213822323584	7317634	7276353	7279109	0.8761904761904762	0.9787234042553191	105	92	94
gsa	8	evo_1286_AP.026	0.9960727507939543	0.9994571679677403	3221848	3209195	3210938	0.8823529411764706	0.8823529411764706	17	15	17
gsa	22	1049089	0.9995867348949201	0.9986889817171203	3121483	3120193	3124289	0.96	0.8888888888888888	25	24	27
gsa	2	1220_AD	0.9973316307826747	0.9980983846756064	3483401	3474106	3480725	0.96875	0.7560975609756098	32	31	41
gsa	14	evo_1049056.031	0.7593691690032994	0.9962331406008785	4428381	3362776	3375491	0.043785310734463276	0.8857142857142857	708	31	35
gsa	21	1030755	0.9939257047662318	0.995468410511346	4622100	4594024	4614937	0.9302325581395349	0.9195402298850575	86	80	87
gsa	4	1030752	1.0	0.9954349682894528	6249064	6249064	6277722	1.0	0.8214285714285714	69	69	84
gsa	17	1030836	0.9948631210439896	0.9947323083657681	4897137	4871981	4897781	0.7837837837837838	0.8405797101449275	74	58	69
gsa	3	1139_AG	1.0	0.9923981283937908	7222488	7222488	7277813	1.0	0.44776119402985076	30	30	67
gsa	13	1036755	0.9951590710733842	0.9913907374929917	6439260	6408088	6463736	0.9439252336448598	0.926605504587156	107	101	109
gsa	24	1036608	0.9205124763260768	0.9908835878079345	3411982	3140772	3169668	0.36257309941520466	0.8051948051948052	171	62	77
gsa	20	1036641	0.9944194273325347	0.9826516667712022	2599554	2585047	2630685	0.9583333333333334	0.9261744966442953	144	138	149
gsa	12	evo_1286_AP.033	0.9873917101817924	0.9813376432092824	3079006	3040185	3098001	0.8666666666666667	0.7647058823529411	15	13	17
gsa	23	1048783	0.8960113685174568	0.9769084545078316	2642385	2367607	2423571	0.46218487394957986	0.7638888888888888	119	55	72
gsa	19	1036539	0.9873937177107645	0.9724305345947805	4603895	4545857	4674737	0.7916666666666666	0.6785714285714286	48	38	56
gsa	18	evo_1035930.011	0.941617804949124	0.9689826478331022	2326634	2190800	2260928	0.8135593220338984	0.8571428571428571	59	48	56
gsa	27	1036707	0.8959800962606151	0.9119569476071197	4076018	3652031	4004609	0.7875	0.7460526315789474	720	567	760
gsa	11	1035930	0.9991126237663338	0.8531341074701962	1876318	1874653	2197372	0.98	0.8166666666666667	50	49	60
gsa	25	1365_A	0.6136769617884302	0.8450010518220465	9661210	5928862	7016396	0.8297972654408298	0.611323376172282	2121	1760	2879
gsa	26	1036728	0.9923784529944292	0.8312223582004564	1685747	1672899	2012577	0.9700854700854701	0.6676470588235294	234	227	340
gsa	28	1036743	0.9555680253022496	0.8045990898631656	4293057	4102308	5098574	0.9369817578772802	0.59536354056902	1206	1130	1898
gsa	9	1049056	0.9707170162083206	0.7708211298754443	2590583	2514723	3262395	0.5869565217391305	0.7941176470588235	46	27	34
gsa	29	1048993	0.9189951229139004	0.6741032911501096	2665321	2449417	3633593	0.9452690166975881	0.4095659163987138	1078	1019	2488
gsa	15	1052944	0.39803384427028493	0.10790660398015167	1406501	559835	5188144	0.41379310344827586	0.25806451612903225	58	24	93
