sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	12	1285_BH	1.0	1.0	4566533	4566533	4566533	1.0	1.0	6	6	6
gsa	17	1030878	1.0	0.9964409456385847	3276530	3276530	3288233	1.0	0.7272727272727273	16	16	22
gsa	2	evo_1286_AP.008	0.21494180737206076	0.9963161220047436	15685492	3371468	3383934	0.21311475409836064	0.7222222222222222	61	13	18
gsa	1	evo_1049056.013	0.20784364767309974	0.995806645982488	16841246	3500346	3515086	0.14814814814814814	0.7692307692307693	135	20	26
gsa	15	1049005	1.0	0.995452590209972	4089153	4089153	4107833	1.0	0.782608695652174	18	18	23
gsa	16	1220_AD	1.0	0.9908786244245092	3448976	3448976	3480725	1.0	0.5853658536585366	24	24	41
gsa	8	1030752	1.0	0.9908481133761577	6220269	6220269	6277722	1.0	0.7380952380952381	62	62	84
gsa	11	1030755	1.0	0.9904003023226536	4570635	4570635	4614937	1.0	0.8045977011494253	70	70	87
gsa	5	1139_AG	1.0	0.9902525662585725	7206873	7206873	7277813	1.0	0.3880597014925373	26	26	67
gsa	6	1035900	1.0	0.9899472586548711	7205934	7205934	7279109	1.0	0.776595744680851	73	73	94
gsa	18	1036608	1.0	0.9887843143193545	3134118	3134118	3169668	1.0	0.7792207792207793	60	60	77
gsa	4	1030836	0.5100119058672935	0.9846483540199122	9455842	4822592	4897781	0.5287356321839081	0.6666666666666666	87	46	69
gsa	20	1036641	1.0	0.983892028121953	2588310	2588310	2630685	1.0	0.825503355704698	123	123	149
gsa	19	1049089	1.0	0.9775801790423357	3054243	3054243	3124289	1.0	0.6296296296296297	17	17	27
gsa	14	evo_1035930.029	0.5310702222635733	0.9749437219387015	4428211	2351691	2412130	0.4857142857142857	0.864406779661017	105	51	59
gsa	13	evo_1035930.011	0.4894365123813834	0.9728876815183853	4494207	2199629	2260928	0.49473684210526314	0.8392857142857143	95	47	56
gsa	3	1052947	0.37490735776411593	0.9568367734805888	12166427	4561283	4767044	0.2867647058823529	0.8125	136	39	48
gsa	9	1036755	1.0	0.9491340611683398	6134952	6134952	6463736	1.0	0.6697247706422018	73	73	109
gsa	22	1048783	1.0	0.9104247410123326	2206479	2206479	2423571	1.0	0.4444444444444444	32	32	72
gsa	7	1036707	0.5091797255542041	0.9012225662979831	7087957	3609044	4004609	0.46161515453639085	0.6092105263157894	1003	463	760
gsa	21	1036554	1.0	0.8981935754422328	2386018	2386018	2656463	1.0	0.56	14	14	25
gsa	10	1365_A	1.0	0.667461329149609	4683173	4683173	7016396	1.0	0.33900659951372003	976	976	2879
gsa	23	1036743	1.0	0.4236533587626658	2160028	2160028	5098574	1.0	0.23182297154899895	440	440	1898
gsa	24	1048993	1.0	0.19514816326429515	709089	709089	3633593	1.0	0.07757234726688103	193	193	2488
gsa	25	1048993	1.0	0.1714889367081013	623121	623121	3633593	1.0	0.06189710610932476	154	154	2488
gsa	26	1052947	0.8403981218041822	0.035442718800162115	201044	168957	4767044	0.6	0.0625	5	3	48
