sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	18	1285_BH	1.0	1.0	4566533	4566533	4566533	1.0	1.0	6	6	6
gsa	13	evo_1286_AP.008	0.4589910134111327	0.9963161220047436	7345390	3371468	3383934	0.4642857142857143	0.7222222222222222	28	13	18
gsa	17	1220_AD	1.0	0.9908786244245092	3448976	3448976	3480725	1.0	0.5853658536585366	24	24	41
gsa	39	1030752	1.0	0.9908481133761577	6220269	6220269	6277722	1.0	0.7380952380952381	62	62	84
gsa	36	1139_AG	1.0	0.9902525662585725	7206873	7206873	7277813	1.0	0.3880597014925373	26	26	67
gsa	28	1036539	0.9994448190142453	0.987766798431655	4620115	4617550	4674737	0.975	0.6964285714285714	40	39	56
gsa	41	1036608	1.0	0.9870207226750561	3128528	3128528	3169668	1.0	0.7662337662337663	59	59	77
gsa	19	1035900	1.0	0.9858543126638164	7176141	7176141	7279109	1.0	0.7340425531914894	69	69	94
gsa	29	1030755	1.0	0.9814814373413981	4529475	4529475	4614937	1.0	0.7471264367816092	65	65	87
gsa	38	1049089	1.0	0.9796731352317279	3060782	3060782	3124289	1.0	0.6666666666666666	18	18	27
gsa	26	1030836	1.0	0.9717755857193288	4759544	4759544	4897781	1.0	0.6231884057971014	43	43	69
gsa	9	1036641	0.9978355172684346	0.9717119305428054	2561813	2556268	2630685	0.9918032786885246	0.8120805369127517	122	121	149
gsa	33	1030878	1.0	0.949913220869689	3123536	3123536	3288233	1.0	0.5909090909090909	13	13	22
gsa	16	1036755	1.0	0.9473929628314027	6123698	6123698	6463736	1.0	0.6605504587155964	72	72	109
gsa	3	1049005	1.0	0.9471733636688736	3890830	3890830	4107833	1.0	0.6521739130434783	15	15	23
gsa	31	evo_1286_AP.033	0.467914394656455	0.9210455387199681	6098124	2853400	3098001	0.5	0.5882352941176471	20	10	17
gsa	27	1036554	1.0	0.8981935754422328	2386018	2386018	2656463	1.0	0.56	14	14	25
gsa	5	1036707	0.9528059137266769	0.886929785155055	3727734	3551807	4004609	0.922920892494929	0.5986842105263158	493	455	760
gsa	34	1036728	0.992593358989296	0.8771003544212221	1778404	1765232	2012577	0.986046511627907	0.6235294117647059	215	212	340
gsa	37	1049056	0.4466267104514555	0.8703455590141599	6357459	2839411	3262395	0.2923076923076923	0.5588235294117647	65	19	34
gsa	15	1048783	1.0	0.8651196932130315	2096679	2096679	2423571	1.0	0.375	27	27	72
gsa	11	1052947	0.9253003409066324	0.7536242585551969	3882588	3592560	4767044	0.8125	0.5416666666666666	32	26	48
gsa	35	1036743	0.9874718338443769	0.6646705529820691	3431867	3388872	5098574	0.9909502262443439	0.34615384615384615	663	657	1898
gsa	21	evo_1049056.015	0.39754730989537646	0.6538004946462845	5534413	2200191	3365233	0.3333333333333333	0.38461538461538464	30	10	26
gsa	22	1365_A	0.9994141508540729	0.6498970411590224	4562608	4559935	7016396	0.9989462592202318	0.3292810003473428	949	948	2879
gsa	30	evo_1049056.031	0.9981286402153116	0.534399291836358	1807242	1803860	3375491	0.9090909090909091	0.2857142857142857	11	10	35
gsa	2	evo_1035930.029	0.38270017292449965	0.5075555629257129	3199084	1224290	2412130	0.3918918918918919	0.4915254237288136	74	29	59
gsa	23	evo_1035930.011	1.0	0.4920506093073287	1112491	1112491	2260928	1.0	0.5	28	28	56
gsa	20	evo_1035930.029	1.0	0.45630915415006656	1100677	1100677	2412130	1.0	0.3389830508474576	20	20	59
gsa	32	evo_1035930.032	0.4044253138706602	0.4549559422894322	2581557	1044047	2294831	0.425531914893617	0.3448275862068966	47	20	58
gsa	8	evo_1049056.031	0.6774688098547362	0.38959487671571336	1941158	1315074	3375491	0.6111111111111112	0.3142857142857143	18	11	35
gsa	24	1048993	0.9966209708606525	0.3730626957944932	1360154	1355558	3633593	0.9971428571428571	0.1402733118971061	350	349	2488
gsa	7	1052944	0.8109938734268154	0.3664144634381775	2344051	1901011	5188144	0.8181818181818182	0.1935483870967742	22	18	93
gsa	10	1053058	0.5960764030246201	0.3442204693213005	2996740	1786286	5189366	0.4878048780487805	0.20833333333333334	41	20	96
gsa	14	1035930	0.6353691749100432	0.24854690057031764	859579	546150	2197372	0.6071428571428571	0.2833333333333333	28	17	60
gsa	6	1286_AP	1.0	0.2474248115562054	736095	736095	2975025	1.0	0.1111111111111111	2	2	18
gsa	25	evo_1286_AP.026	0.9167025087897595	0.23962312570345487	839329	769415	3210938	0.8	0.23529411764705882	5	4	17
gsa	43	1286_AP	1.0	0.22514869622944345	669823	669823	2975025	1.0	0.3888888888888889	7	7	18
gsa	12	1053058	0.43133059692224496	0.2114901897457223	2544452	1097500	5189366	0.4074074074074074	0.11458333333333333	27	11	96
gsa	1	evo_1049056.013	1.0	0.19467802494732703	684310	684310	3515086	1.0	0.11538461538461539	3	3	26
gsa	4	1049056	0.9864352289962536	0.11662383003897443	385705	380473	3262395	0.5	0.058823529411764705	4	2	34
gsa	44	1036554	1.0	0.07888873287525555	209565	209565	2656463	1.0	0.08	2	2	25
gsa	40	1052947	1.0	0.05410333951186522	257913	257913	4767044	1.0	0.0625	3	3	48
gsa	42	1052944	0.6076522857476909	0.032056164979229564	273696	166312	5188144	0.14285714285714285	0.010752688172043012	7	1	93
